peak_index,mz,mass_resolution,snr,intensity,base_peak_ratio,fwhm
522,391.1414,15514,26.6,260,0.2,0.0252
523,391.1618,16046,20.2,198,0.2,0.0244
524,391.2242,25677,42,411,0.3,0.0152
525,392.1059,9669,15.2,149,0.1,0.0406
526,392.1429,10876,22.7,223,0.2,0.0361
527,392.1692,12018,13.8,135,0.1,0.0326
528,392.2151,16293,18.4,180,0.1,0.0241
529,393.1118,11136,26.6,261,0.2,0.0353
530,393.1484,10406,32.8,322,0.3,0.0378
531,393.1821,16710,31.9,313,0.3,0.0235
532,393.9338,27811,79.4,781,0.6,0.0142
533,394.119,20915,43.1,424,0.3,0.0188
534,394.1546,11583,21.4,211,0.2,0.034
535,394.1866,11486,16.4,161,0.1,0.0343
536,394.2284,22239,16.4,161,0.1,0.0177
537,394.9413,28387,48.2,476,0.4,0.0139
538,395.1318,10461,25.2,249,0.2,0.0378
539,395.1604,21765,50.3,498,0.4,0.0182
540,395.1975,29968,220.3,2180,1.8,0.0132
541,395.2168,27519,69.4,687,0.6,0.0144
542,395.2471,22699,22.1,218,0.2,0.0174
543,396.1166,12122,24.7,245,0.2,0.0327
544,396.1393,15712,18.8,187,0.2,0.0252
545,396.1659,10652,21.9,217,0.2,0.0372
546,396.2006,25129,60.4,599,0.5,0.0158
547,396.2464,16725,12.6,125,0.1,0.0237
548,396.7842,26704,20.4,203,0.2,0.0149
549,397.1336,13974,32.5,323,0.3,0.0284
550,397.1756,19758,36.6,364,0.3,0.0201
551,397.202,13985,18.6,185,0.2,0.0284
552,397.2247,21533,19.4,193,0.2,0.0184
553,398.1039,11560,17.7,176,0.1,0.0344
554,398.1367,11448,16.4,164,0.1,0.0348
555,398.1792,9420,15,150,0.1,0.0423
556,399.1111,9623,16.5,166,0.1,0.0415
557,399.1333,12119,19.8,199,0.2,0.0329
558,399.173,14020,15.4,154,0.1,0.0285
559,400.0469,25682,20.6,207,0.2,0.0156
560,400.1156,9126,17.6,177,0.1,0.0438
561,400.1788,8877,12.5,125,0.1,0.0451
562,401.1171,13560,20.2,203,0.2,0.0296
563,401.1479,28154,124.1,1250,1,0.0142
564,401.1924,11521,16.8,170,0.1,0.0348
565,402.1293,10554,15.6,158,0.1,0.0381
566,402.1512,21292,38.8,391,0.3,0.0189
567,402.1953,15397,12.5,126,0.1,0.0261
568,403.0053,20185,21,212,0.2,0.02
569,403.1057,13481,22.5,227,0.2,0.0299
570,403.1294,14938,28.4,286,0.2,0.027
571,403.1636,28873,859.3,8662,7.1,0.014
572,404.0731,15015,14.6,147,0.1,0.0269
573,404.1137,10580,15.1,153,0.1,0.0382
574,404.1669,28121,201.5,2044,1.7,0.0144
